district_name,data_quality,updated_fields,missing_sources,population_2024,population_density_per_km2_2024,rent_eur_per_sqm_miet_check_2026,rent_source_name,crime_cases_2024_pks,crime_source_name,crime_rate_per_1000_residents,daycare_facilities_2025,primary_schools_2024_2025,private_car_density_per_1000_2025,living_space_per_resident_m2_2024,single_households_share_pct,households_with_children_share_pct,one_two_family_home_share_pct,rentPerSqm,safetyScore,quietnessScore,greenScore,publicTransportScore,schoolScore,kindergartenScore,nightlifeScore
St. Georg,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,12508,6949,18.2,St. Georg,30945,St. Georg,2474.017,9,1,190.0,38.6,67.6,9.9,1.5,18.2,2.7,6.8,5.4,7.3,2.0,8.0,6.1
St. Pauli,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,22377,10171,19.69,St. Pauli,14982,St. Pauli,669.527,16,1,193.0,36.1,69.5,11.9,1.5,19.69,8.1,5.3,4.5,7.7,1.5,6.8,6.8
Steilshoop,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,19902,7961,12.05,Steilshoop,1259,Steilshoop,63.26,11,3,280.0,33.7,49.0,21.6,3.7,12.05,9.9,6.3,4.9,6.4,2.0,3.8,4.3
Steinwerder,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,15.76,Steinwerder,106,Steinwerder,,,,,,,,,15.76,5.5,6.9,6.4,5.7,6.4,7.3,3.9
Stellingen,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,28812,4723,17.07,Stellingen,2262,Stellingen,78.509,15,3,286.0,36.2,57.5,16.4,11.1,17.07,9.8,7.8,6.0,5.8,1.9,4.5,4.5
Sternschanze,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,7669,15338,18.89,Sternschanze,1774,Sternschanze,231.321,4,1,186.0,38.6,69.2,13.1,1.0,18.89,9.4,2.9,3.4,8.7,2.4,5.2,7.7
Sülldorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,9330,1637,15.6,Sülldorf,403,Sülldorf,43.194,3,1,392.0,41.9,47.6,20.7,49.6,15.6,9.9,9.3,7.8,4.1,1.8,2.8,3.0
Tatenberg,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,560,181,12.38,Tatenberg,33,Tatenberg,58.929,0,0,584.0,49.0,36.5,21.9,78.3,12.38,9.9,9.9,9.1,1.6,1.0,1.0,1.9
Tonndorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,15580,3995,13.67,Tonndorf,1169,Tonndorf,75.032,6,1,362.0,37.9,54.8,18.5,22.3,13.67,9.8,8.2,6.5,4.8,1.5,3.3,4.1
Uhlenhorst,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,19251,8751,19.18,Uhlenhorst,1256,Uhlenhorst,65.243,11,1,327.0,46.8,62.1,13.5,3.2,19.18,9.9,6.0,5.4,6.0,1.5,5.6,5.9
Veddel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,4328,984,11.87,Veddel,676,Veddel,156.192,2,1,199.0,28.0,54.8,20.2,0.9,11.87,9.6,9.6,6.2,6.2,2.7,3.6,3.3
Volksdorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,20608,1777,13.69,Volksdorf,1019,Volksdorf,49.447,14,4,455.0,51.4,40.5,21.8,55.5,13.69,9.9,9.2,8.4,3.4,2.4,4.8,2.5
Waltershof,partially-sourced,rentPerSqm,Statistikamt Stadtteilprofile row,,,10.37,Waltershof,106,Waltershof,,,,,,,,,10.37,6.1,5.8,7,6.7,6.3,7.3,3.7
Wandsbek,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,38397,6508,14.23,Wandsbek,3924,Wandsbek,102.195,20,4,302.0,36.5,62.0,13.6,10.0,14.23,9.8,7.0,5.5,5.9,2.0,4.8,5.4
Wellingsbüttel,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,11168,2724,14.36,Wellingsbüttel,402,Wellingsbüttel,35.996,8,1,499.0,57.4,41.5,22.4,50.4,14.36,10.0,8.8,8.4,3.0,1.7,5.1,2.7
Wilhelmsburg,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,54073,1528,11.35,Wilhelmsburg,5211,Wilhelmsburg,96.37,25,7,260.0,29.7,51.3,21.5,13.8,11.35,9.8,9.3,6.4,5.6,1.9,3.4,3.1
Wilstorf,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,17930,5274,11.87,Wilstorf,1216,Wilstorf,67.819,11,1,310.0,33.4,55.1,19.2,15.6,11.87,9.9,7.6,5.8,5.6,1.4,4.5,4.3
Winterhude,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,61192,8052,17.7,Winterhude,3915,Winterhude,63.979,44,5,287.0,41.2,64.0,13.6,2.5,17.7,9.9,6.3,5.3,6.3,1.8,6.4,5.9
Wohldorf-Ohlstedt,sourced,population|populationDensity|safetyScore|quietnessScore|greenScore|publicTransportScore|schoolScore|kindergartenScore|nightlifeScore|rentPerSqm,,4839,280,13.53,Wohldorf-Ohlstedt,177,Wohldorf-Ohlstedt,36.578,4,1,554.0,61.7,34.0,26.7,79.4,13.53,10.0,9.9,9.8,2.0,2.3,5.2,1.4
